699,00,08,41.02,1,36,37,38.7,6.21
716,00,08,52.07,1,25,27,46.3,6.24
728,00,09,00.16,1,28,14,51.2,6.47
729,00,09,02.34,1,18,12,43.3,5.57
730,00,09,02.35,0,54,00,07.1,6.32
746,00,09,10.09,1,59,09,00.8,2.28
760,00,09,19.83,1,79,42,52.7,6.01
761,00,09,21.02,0,27,59,16.5,5.42
765,00,09,24.54,0,45,44,49.2,3.88
798,00,09,52.10,0,62,17,48.6,6.34
813,00,10,02.18,1,11,08,44.9,5.54
814,00,10,02.27,0,82,13,26.4,5.29
840,00,10,18.85,0,05,14,54.7,5.84
841,00,10,19.24,1,46,04,20.2,5.01
873,00,10,42.75,0,12,34,47.3,5.84
910,00,11,15.91,0,15,28,02.4,4.89
930,00,11,34.42,0,27,47,59.2,5.41
950,00,11,43.89,0,35,08,00.2,5.24
967,00,11,59.03,1,48,09,08.5,6.18
983,00,12,09.95,0,17,56,17.6,5.29
1067,00,13,14.15,1,15,11,01.0,2.83
1074,00,13,19.55,0,84,59,38.5,5.78
1076,00,13,23.93,1,26,59,15.4,6.24
1086,00,13,30.94,1,41,02,08.6,5.71
1096,00,13,42.22,0,26,01,19.8,5.94
1099,00,13,44.38,0,26,17,05.9,6.14
1123,00,14,02.29,1,33,12,21.9,6.22
1158,00,14,27.59,0,07,46,49.9,5.13
1168,00,14,36.11,1,20,12,24.1,4.79
1170,00,14,38.43,0,18,55,57.7,4.44
1191,00,14,54.50,0,09,34,10.4,5.77
1193,00,14,55.87,1,22,17,03.3,6.25
1195,00,14,58.21,0,34,54,15.1,6.17
1196,00,14,58.78,1,08,49,15.7,6.02
1208,00,15,06.93,1,31,32,08.7,6.34
1215,00,15,10.55,1,27,17,00.5,6.35
1269,00,15,54.87,1,61,00,00.7,6.43
1268,00,15,54.94,0,75,54,41.8,6.49
1288,00,16,08.79,0,31,26,46.8,5.66
1296,00,16,13.88,1,76,57,02.7,6.35
1302,00,16,21.50,1,43,35,42.4,6.12
1319,00,16,34.06,1,08,14,24.7,6.12
1354,00,16,57.05,1,61,31,59.5,5.74
1366,00,17,05.54,1,38,40,54.0,4.61
1372,00,17,09.04,1,47,56,50.7,5.86
1402,00,17,32.69,0,19,03,03.9,6.46
1415,00,17,43.07,1,51,25,59.1,6.11
1421,00,17,47.65,1,01,41,19.3,6.19
1465,00,18,17.27,1,11,12,22.6,6.07
1473,00,18,19.71,1,36,47,07.2,4.51
1493,00,18,38.22,1,31,31,02.0,5.88
1499,00,18,41.62,0,08,03,09.5,6.47
1501,00,18,42.15,1,43,47,28.1,6.1
1502,00,18,42.52,0,43,14,08.1,6.33
1562,00,19,25.68,0,08,49,25.8,3.56
1575,00,19,41.58,1,40,43,46.2,6.35
1599,00,20,01.91,0,64,52,39.4,4.23
1630,00,20,24.39,1,30,56,08.2,5.89
1639,00,20,30.92,1,48,58,07.1,6.46
1645,00,20,35.86,1,08,11,24.9,5.38
1647,00,20,39.04,0,69,37,29.7,5.5
1657,00,20,45.54,1,32,54,40.4,5.79
1686,00,21,07.23,1,37,58,07.3,5.16
1706,00,21,28.74,0,77,25,36.7,5.96
1708,00,21,31.18,0,28,58,52.7,5.18
1728,00,21,46.23,0,20,03,28.8,5.61
1772,00,22,25.45,1,13,28,56.8,6.25
1803,00,22,51.55,0,12,12,34.5,6.39
1821,00,23,04.35,0,15,56,33.4,6.43
1921,00,24,15.64,1,52,01,11.7,5.58
1939,00,24,29.67,0,02,13,08.3,6.08
1948,00,24,38.15,1,14,18,55.9,6.48
1960,00,24,47.49,1,61,49,51.8,5.38
1982,00,25,06.39,1,53,02,48.4,5.72
2006,00,25,24.22,1,01,56,23.0,5.77
2021,00,25,39.20,0,77,15,18.1,2.82
2072,00,26,12.12,0,43,40,47.7,3.93
2081,00,26,16.87,0,42,18,18.4,2.4
2086,00,26,21.74,0,18,41,37.0,6.24
2100,00,26,37.37,0,00,02,58.3,6.16
2159,00,27,14.69,0,25,32,49.7,5.99
2178,00,27,31.02,1,16,01,31.7,6.44
2210,00,27,55.71,0,33,00,25.4,4.86
2213,00,27,58.48,1,19,30,50.7,6.4
2219,00,28,02.84,1,17,53,35.1,5.01
2224,00,28,12.69,1,16,26,42.4,6.05
2225,00,28,13.59,1,44,23,40.2,5.18
2235,00,28,20.03,1,10,11,25.2,6.05
2237,00,28,21.17,0,20,20,05.2,6.44
2240,00,28,26.42,0,39,54,53.6,5.42
2256,00,28,42.98,0,50,31,58.2,6.26
2270,00,28,56.67,1,36,53,58.9,6.28
2337,00,29,51.81,0,14,51,50.5,6.15
2353,00,30,02.35,0,03,57,26.3,5.72
2355,00,30,07.34,1,29,45,06.1,5.2
2377,00,30,19.91,1,59,58,39.2,5.94
2381,00,30,22.67,0,23,47,15.8,5.17
2383,00,30,25.97,0,48,12,52.9,5.67
2388,00,30,27.83,0,40,56,22.7,6.18
2422,00,30,54.20,1,77,01,10.2,6.18
2472,00,31,24.86,0,48,48,12.8,4.76
2474,00,31,25.20,1,66,31,10.7,6.18
2475,00,31,25.61,1,33,34,54.1,5.88
2484,00,31,32.56,0,62,57,29.1,4.36
2487,00,31,33.36,0,62,57,55.6,4.53
2497,00,31,41.21,1,52,50,22.4,5.59
2505,00,31,46.32,1,54,31,20.4,4.74
2548,00,32,23.75,1,06,57,19.6,5.69
2568,00,32,35.40,1,20,17,40.0,5.38
2578,00,32,43.79,0,63,01,53.0,5.07
2583,00,32,49.09,1,28,16,48.8,6.26
2599,00,32,59.99,1,62,55,54.4,4.17
2611,00,33,10.32,1,54,53,42.3,5.93
2628,00,33,19.20,1,70,58,54.7,6.41
2629,00,33,23.23,0,71,15,58.4,6.11
2661,00,33,41.06,0,29,33,29.5,5.55
2663,00,33,43.85,0,35,00,03.0,6.41
2707,00,34,24.89,1,66,45,01.3,6.47
2711,00,34,27.62,0,52,22,23.5,5.57
2734,00,34,55.41,1,13,22,16.6,6.39
2762,00,35,14.64,0,03,35,33.9,5.2
2787,00,35,32.75,0,00,30,19.7,5.94
2789,00,35,33.32,0,54,49,18.3,6.04
2802,00,35,41.13,0,48,00,02.4,5.51
2832,00,35,54.88,1,13,12,27.0,6.32
2846,00,36,03.20,0,14,58,22.4,6.45
2852,00,36,06.90,0,22,50,32.0,6.06
2854,00,36,08.29,1,54,10,06.4,5.08
2876,00,36,27.34,1,60,19,34.4,5.78
2889,00,36,37.59,0,65,07,27.9,6.43
2900,00,36,46.47,1,44,29,18.6,5.14
2903,00,36,47.31,1,15,13,54.3,5.89
2912,00,36,52.84,1,33,43,09.7,4.34
2920,00,36,58.27,1,53,53,49.0,3.69
2926,00,37,07.20,1,24,00,51.3,6.18
2937,00,37,18.18,0,54,23,37.7,6.4
2941,00,37,19.79,0,24,46,02.0,5.57
2942,00,37,21.23,1,35,23,58.2,5.45
2954,00,37,30.44,1,03,08,07.8,6.43
3031,00,38,33.50,1,29,18,44.5,4.34
3056,00,38,48.75,0,25,06,28.0,6.43
3083,00,39,09.89,1,49,21,16.5,5.45
3092,00,39,19.60,1,30,51,40.4,3.27
3093,00,39,22.09,1,21,15,04.9,5.88
3132,00,39,47.75,1,82,29,36.9,6.38
3137,00,39,51.91,0,44,47,46.8,6.0
3138,00,39,55.55,1,21,26,18.8,5.36
3170,00,40,24.66,0,59,27,20.5,5.89
3175,00,40,28.56,0,16,30,59.8,6.49
3179,00,40,30.39,1,56,32,14.7,2.24
3185,00,40,32.40,0,23,48,14.4,6.14
3193,00,40,42.38,0,04,21,06.5,5.9
3231,00,41,07.20,1,39,27,31.2,5.3
3245,00,41,19.58,0,46,05,06.0,4.59
3269,00,41,35.98,1,24,37,44.6,6.06
3277,00,41,46.30,0,56,30,05.2,5.72
3299,00,42,03.44,1,66,08,51.4,5.83
3300,00,42,03.88,1,50,30,45.1,4.8
3330,00,42,28.30,0,65,28,05.3,5.38
