102532,20 46 39.52,+16 07 29.2,4.27,32.14,-25.88,-196.27,K1IV,1.042
61585,12 37 11.08,-69 08 07.9,2.69,10.67,-39.87,-12.44,B2IV-V,-0.176
30867,06 28 49.07,-07 01 59.0,3.76,4.72,-7.0,-4.97,B3Ve,-0.113
96406,19 36 01.65,-24 43 08.5,5.64,11.23,6.08,-26.37,A1m...,0.185
16537,03 32 56.42,-09 27 29.9,3.72,310.75,-976.44,17.97,K2V,0.881
82080,16 45 58.16,+82 02 14.1,4.21,9.41,19.54,4.67,G5IIIvar,0.897
30883,06 28 57.79,+20 12 43.8,4.13,6.49,-5.98,-14.08,B6III,-0.115
18597,03 58 44.74,-61 24 00.5,4.56,6.15,9.79,-14.39,M2III,1.59
114855,23 15 53.28,-09 05 15.7,4.24,21.97,368.56,-17.02,K0III,1.107
94376,19 12 33.15,+67 39 40.7,3.07,32.54,94.49,92.3,G9III,0.99
20648,04 25 29.32,+17 55 40.8,4.3,22.05,108.26,-32.47,A2IV,0.049
22701,04 52 53.68,-05 27 09.9,4.36,14.39,-18.01,25.03,A9IV,0.257
84143,17 12 09.18,-43 14 18.6,3.32,45.56,22.01,-287.41,F3p,0.441
71860,14 41 55.77,-47 23 17.3,2.3,5.95,-21.15,-24.22,B1.5III,-0.154
45238,09 13 12.24,-69 43 02.9,1.67,29.34,-157.66,108.91,A2IV,0.07
18614,03 58 57.90,+35 47 27.7,3.98,1.84,1.92,2.3,O7.5Iab:,0.016
98495,20 00 35.39,-72 54 36.7,3.97,30.73,80.54,-131.34,A0V,-0.032
116928,23 42 02.88,+01 46 49.5,4.49,32.38,-129.55,-154.87,A7V,0.2
12484,02 40 39.58,-54 32 59.7,5.21,20.49,32.76,5.24,F4IV,0.411
12486,02 40 39.93,-39 51 19.1,4.11,22.42,135.17,-27.34,K0III,1.006
22730,04 53 22.76,+02 30 29.8,5.33,5.11,29.67,-16.4,M1III,1.632
86228,17 37 19.13,-42 59 52.2,1.86,11.99,6.06,-0.95,F1II,0.406
102618,20 47 40.53,-09 29 44.5,3.78,14.21,31.89,-35.32,A1V,0.0
35037,07 14 48.66,-26 46 21.7,4.01,3.53,-11.5,7.67,B2IV/Ve,-0.15
43234,08 48 25.98,+05 50 16.4,4.35,9.67,-17.51,-29.79,A0Vn,-0.044
16611,03 33 47.25,-21 37 58.1,4.26,11.02,44.91,-27.47,B9V,-0.106
71908,14 42 30.69,-64 58 28.5,3.18,60.97,-192.64,-234.07,F1Vp,0.256
51437,10 30 17.50,-00 38 13.1,5.08,9.46,-40.12,-22.17,B6V,-0.138
28910,06 06 09.33,-14 56 07.0,4.67,19.14,-16.87,13.16,A0V,0.046
98543,20 01 06.01,+27 45 12.8,4.66,14.67,57.99,3.76,A4III,0.184
14576,03 08 10.13,+40 57 20.3,2.09,35.14,2.39,-1.44,B8V,-0.003
86263,17 37 35.23,-15 23 54.3,3.54,30.93,-39.3,-61.27,F0IIIp,0.262
78072,15 56 26.99,+15 39 53.0,3.85,89.92,311.2,-1282.17,F6V,0.478
33018,06 52 47.34,+33 57 40.9,3.6,16.59,-2.66,-47.67,A3III,0.102
22783,04 54 03.01,+66 20 33.6,4.26,0.47,0.49,7.31,O9.5Ia SB:,-0.008
92420,18 50 04.79,+33 21 45.6,3.52,3.7,1.1,-4.46,A8:V comp SB,0.003
24845,05 19 34.53,-13 10 36.4,4.29,3.03,-2.49,-4.74,B0.5IV,-0.235
71957,14 43 03.56,-05 39 26.7,3.87,53.54,104.23,-319.9,F2III,0.385
45336,09 14 21.79,+02 18 54.1,3.89,25.34,112.57,-306.07,B9.5V,-0.06
114971,23 17 09.49,+03 16 56.1,3.7,24.92,760.35,17.96,G7III,0.916
104732,21 12 56.18,+30 13 37.5,3.21,21.62,6.87,-68.12,G8II SB,0.99
57632,11 49 03.88,+14 34 20.4,2.14,90.16,-499.02,-113.78,A3Vvar,0.09
18724,04 00 40.82,+12 29 25.4,3.41,8.81,-8.15,-11.98,B3V + A,-0.099
24873,05 19 59.03,-12 18 56.2,5.29,9.83,-12.12,7.97,B7/B8V,-0.104
80170,16 21 55.24,+19 09 10.9,3.74,16.69,-47.44,44.61,A9III,0.299
114996,23 17 25.81,-58 14 09.3,3.99,45.4,-34.93,79.59,F1III,0.41
90422,18 26 58.43,-45 58 06.0,3.49,13.08,-16.68,-53.33,B3IV,-0.179
22845,04 54 53.70,+10 09 04.1,4.64,27.04,40.08,-128.37,A0V,0.085
112961,22 52 36.86,-07 34 46.8,3.73,8.33,19.51,32.71,M2IIIvar,1.626
4427,00 56 42.50,+60 43 00.3,2.15,5.32,25.65,-3.82,B0IV:evar,-0.046
78159,15 57 35.30,+26 52 40.9,4.14,14.2,-76.55,-60.24,K3III,1.231
4436,00 56 45.10,+38 29 57.3,3.86,23.93,152.78,36.82,A5V,0.13
67927,13 54 41.12,+18 23 54.9,2.68,88.17,-60.95,-358.1,G0IV,0.58
76127,15 32 55.80,+31 21 33.0,4.14,10.49,-19.62,-8.94,B6Vnn,-0.127
41312,08 25 44.25,-66 08 11.5,3.77,30.21,-35.83,-152.15,K2IIIvar,1.132
